Key,Description,Start,End,Done,NeededBy
1,Explore Ideas,2019-10-15,2019-10-18,100,
2,Finalize project,2019-10-18,2019-10-19,100,
3,Create WBS,2019-10-19,2019-10-20,100,
4,Gantt chart - package,2019-10-20,2019-10-24,100,
5,Gantt chart - geom_line,2019-10-22,2019-10-26,100,
6,Add Writeup,2019-10-24,2019-10-27,100,
7,Refine Plot,2019-10-25,2019-10-27,100,
8,Review Tutorial,2019-10-26,2019-10-28,80,
9,Submit Tutorial,2019-10-27,2019-10-28,0,
10,Get Feedback and Update,2019-10-28,2019-10-31,0,